"Category","Number of Flights from 2004 to 2021"
"2004","23.8"
"2005","24.9"
"2006","25.5"
"2007","26.7"
"2008","26.5"
"2009","25.9"
"2010","27.8"
"2011","30.1"
"2012","31.2"
"2013","32"
"2014","33"
"2015","34"
"2016","35.2"
"2017","36.4"
"2018","38.1"
"2019","38.9"
"2020 (pre-COVID)","40.3"
"2020 (post-COVID)","16.4"
"2021","22.2"
